,County1,Dem-Rep %,State1,COVID Cases per 100K
16,Comanche,-70.71,Kansas,705.8823529411765
17,Cowley,-37.39,Kansas,1114.3577403460524
18,Crawford,-23.0,Kansas,2905.8684115616466
19,Decatur,-71.07,Kansas,955.076052352317
20,Dickinson,-53.830000000000005,Kansas,1202.2094660457058
21,Doniphan,-59.77000000000001,Kansas,1552.6315789473686
22,Douglas,32.96,Kansas,1972.0429579826432
23,Edwards,-62.550000000000004,Kansas,1858.470335954253
24,Elk,-70.53,Kansas,276.6798418972332
25,Ellis,-47.91,Kansas,3810.457745245683
26,Ellsworth,-54.05,Kansas,1016.0603080957063
27,Finney,-31.06,Kansas,6211.094962568898
28,Ford,-38.42,Kansas,8751.003896606086
29,Franklin,-39.16,Kansas,1589.4143438772314
30,Geary,-20.689999999999998,Kansas,1389.3274392169244
31,Gove,-73.78999999999999,Kansas,1479.514415781487
32,Graham,-65.19,Kansas,1611.6035455278004
33,Grant,-57.050000000000004,Kansas,3930.0699300699293
34,Gray,-69.46,Kansas,2154.308617234469
35,Greeley,-69.38000000000001,Kansas,1055.1948051948052
36,Greenwood,-58.980000000000004,Kansas,835.8408559010363
37,Hamilton,-66.67,Kansas,1851.122489168964
38,Harper,-62.18,Kansas,2207.5055187637968
39,Harvey,-24.130000000000003,Kansas,1077.5799471375876
40,Haskell,-58.72,Kansas,3225.8064516129034
41,Hodgeman,-71.88,Kansas,1393.5340022296546
42,Jackson,-41.71000000000001,Kansas,1920.8867967504368
43,Jefferson,-32.33,Kansas,1060.757233629155
44,Jewell,-69.81,Kansas,590.4828065300452
45,Johnson,-2.6400000000000006,Kansas,1958.8280895948046
46,Kearny,-68.47,Kansas,2657.634184471079
47,Kingman,-57.91,Kansas,1426.1744966442955
48,Kiowa,-72.84,Kansas,1090.9090909090908
49,Labette,-37.55,Kansas,1289.631970639209
50,Lane,-70.26,Kansas,1042.3452768729644
51,Leavenworth,-24.520000000000003,Kansas,2804.6185082805355
52,Lincoln,-65.84,Kansas,472.65361242403776
53,Linn,-62.07000000000001,Kansas,896.629908275791
54,Logan,-72.44,Kansas,1252.6843235504653
55,Lyon,-15.490000000000002,Kansas,3289.652056032535
56,Marion,-49.77000000000001,Kansas,956.4851797351273
57,Marshall,-47.83,Kansas,866.7115449343655
58,McPherson,-41.77,Kansas,370.86638508292987
59,Meade,-70.06,Kansas,3471.3612695264073
60,Miami,-40.02,Kansas,1220.9013640213805
