,Population Density (per sq mi),County,State
85,188.0,Schuylkill,Pennsylvania
94,120.4,Snyder,Pennsylvania
103,71.2,Somerset,Pennsylvania
123,14.1,Sullivan,Pennsylvania
113,51.3,Susquehanna,Pennsylvania
119,37.3,Tioga,Pennsylvania
90,141.5,Union,Pennsylvania
102,79.5,Venango,Pennsylvania
115,45.9,Warren,Pennsylvania
78,241.8,Washington,Pennsylvania
106,69.2,Wayne,Pennsylvania
75,350.0,Westmoreland,Pennsylvania
105,69.7,Wyoming,Pennsylvania
68,481.0,York,Pennsylvania
192,53.9,Anderson,Texas
289,10.7,Andrews,Texas
165,101.1,Angelina,Texas
198,45.2,Aransas,Texas
297,9.6,Archer,Texas
353,2.1,Armstrong,Texas
213,37.9,Atascosa,Texas
203,43.8,Austin,Texas
305,8.6,Bailey,Texas
233,25.9,Bandera,Texas
172,84.5,Bastrop,Texas
335,4.0,Baylor,Texas
217,36.9,Bee,Texas
144,295.6,Bell,Texas
128,1424.3,Bexar,Texas
275,14.9,Blanco,Texas
371,0.7,Borden,Texas
265,18.0,Bosque,Texas
166,100.8,Bowie,Texas
152,202.3,Brazoria,Texas
140,340.9,Brazos,Texas
361,1.5,Brewster,Texas
355,1.8,Briscoe,Texas
308,7.6,Brooks,Texas
211,39.6,Brown,Texas
236,25.5,Burleson,Texas
205,43.0,Burnet,Texas
179,71.0,Caldwell,Texas
251,20.9,Calhoun,Texas
274,15.0,Callahan,Texas
141,325.2,Cameron,Texas
185,61.3,Camp,Texas
312,6.6,Carson,Texas
224,31.6,Cass,Texas
300,8.9,Castro,Texas
209,42.0,Chambers,Texas
196,48.0,Cherokee,Texas
294,9.9,Childress,Texas
298,9.4,Clay,Texas
336,3.9,Cochran,Texas
342,3.5,Coke,Texas
310,6.8,Coleman,Texas
130,944.5,Collin,Texas
343,3.3,Collingsworth,Texas
250,21.3,Colorado,Texas
153,201.4,Comal,Texas
277,14.5,Comanche,Texas
334,4.1,Concho,Texas
206,42.9,Cooke,Texas
178,72.2,Coryell,Texas
356,1.8,Cottle,Texas
320,5.9,Crane,Texas
363,1.4,Crockett,Texas
311,6.7,Crosby,Texas
373,0.6,Culberson,Texas
328,4.6,Dallam,Texas
125,2695.3,Dallas,Texas
273,15.1,Dawson,Texas
247,22.4,De Witt,Texas
283,12.9,Deaf Smith,Texas
261,18.8,Delta,Texas
132,743.6,Denton,Texas
350,2.6,Dickens,Texas
306,7.9,Dimmit,Texas
337,3.9,Donley,Texas
315,6.5,Duval,Texas
257,19.7,Eastland,Texas
157,160.7,Ector,Texas
369,1.0,Edwards,Texas
131,811.7,El Paso,Texas
156,162.3,Ellis,Texas
218,36.1,Erath,Texas
246,22.6,Falls,Texas
215,37.6,Fannin,Texas
234,25.8,Fayette,Texas
332,4.3,Fisher,Texas
317,6.3,Floyd,Texas
358,1.6,Foard,Texas
133,714.9,Fort Bend,Texas
219,36.0,Franklin,Texas
248,22.0,Freestone,Texas
269,15.7,Frio,Texas
284,12.3,Gaines,Texas
139,345.9,Galveston,Texas
309,7.1,Garza,Texas
243,23.7,Gillespie,Texas
365,1.3,Glasscock,Texas
304,8.6,Goliad,Texas
262,18.7,Gonzales,Texas
240,24.5,Gray,Texas
163,124.6,Grayson,Texas
137,445.1,Gregg,Texas
223,33.4,Grimes,Texas
154,195.4,Guadalupe,Texas
220,35.8,Hale,Texas
340,3.6,Hall,Texas
293,10.0,Hamilton,Texas
319,6.0,Hansford,Texas
321,5.8,Hardeman,Texas
184,61.5,Hardin,Texas
126,2402.1,Harris,Texas
177,73.1,Harrison,Texas
333,4.2,Hartley,Texas
316,6.5,Haskell,Texas
145,250.6,Hays,Texas
329,4.4,Hemphill,Texas
173,83.1,Henderson,Texas
135,509.5,Hidalgo,Texas
221,35.5,Hill,Texas
235,25.5,Hockley,Texas
164,119.8,Hood,Texas
200,44.8,Hopkins,Texas
263,18.7,Houston,Texas
212,39.5,Howard,Texas
372,0.7,Hudspeth,Texas
168,98.9,Hunt,Texas
239,24.5,Hutchinson,Texas
359,1.5,Irion,Texas
296,9.7,Jack,Texas
267,16.7,Jackson,Texas
216,36.9,Jasper,Texas
367,1.0,Jeff Davis,Texas
146,226.9,Jefferson,Texas
327,4.6,Jim Hogg,Texas
197,47.6,Jim Wells,Texas
150,209.5,Johnson,Texas
249,21.4,Jones,Texas
